critics_score,audience_score,title,release_dates,cast,year,alternate_ids
-1,100,Anubis,{'theater': '2018-03-23'},,2018,
-1,98,The Amazing Spiderman 4,{'theater': '2018-05-04'},,2018,
-1,95,The Amazing Spiderman 4 3D,{'theater': '2018-05-04'},,2018,
-1,96,The Amazing Spider-Man 4,{'theater': '2018-05-04'},,2018,{u'imdb': u'2990104'}
-1,100,Untitled Disney Animation (11/21/2018),{'theater': '2018-11-21'},,2018,
-1,100,Untitled Pixar Animation (6/16/2018),{'theater': '2018-06-15'},,2018,
-1,100,Untitled Disney Animation (3/9/2018),{'theater': '2018-03-09'},,2018,
-1,0,Untitled Warner Animation Group Project 2,{'theater': '2018-02-09'},,2018,
-1,100,Untitled Fox/marvel Project,{'theater': '2018-07-13'},,2018,
-1,98,Avatar 3,{'theater': '2017-12-31'},"Sam Worthington,Zoe Saldana,Stephen Lang,Sigourney Weaver,",2017,
-1,100,Allegiant - Part 2,{'theater': '2017-03-24'},"Shailene Woodley,Theo James,",2017,
-1,100,Untitled Pixar Animation (11/22/2017),{'theater': '2017-11-22'},,2017,
-1,100,Untitled Pixar Animation (6/16/2017),{'theater': '2017-06-16'},,2017,
-1,0,Untitled Warner Animation Group Project 1,{'theater': '2017-02-10'},,2017,
-1,86,Dr. Seuss' How the Grinch Stole Christmas,{'theater': '2017-11-17'},,2017,
-1,95,How The Grinch Stole Christmas,{'theater': '2017-11-17'},,2017,
-1,98,Despicable Me 3,{'theater': '2017-06-30'},"Steve Carell,",2017,
-1,86,Ferdinand,{'theater': '2017-04-07'},,2017,{u'imdb': u'2990104'}
-1,94,The Fantastic Four 2,{'theater': '2017-07-14'},,2017,
83,81,Joseph and the Amazing Technicolor Dreamcoat,"{'dvd': '2000-03-28', 'theater': '2000-04-05'}","Donny Osmond,Maria Freidman,Richard Attenborough,Robert Torti,Ian McNeice,",2017,
-1,100,Justice League,{},,2017,{u'imdb': u'2990104'}
-1,98,Untitled Lego Movie,{'theater': '2017-05-26'},,2017,
-1,98,Untitled Marvel 2,{'theater': '2017-05-05'},,2017,
-1,99,Untitled Wolverine Sequel,{'theater': '2017-03-03'},"Hugh Jackman,",2017,
-1,92,Untitled Wolverine,{'theater': '2017-03-03'},,2017,
-1,99,Allegiant - Part 1,{'theater': '2016-03-18'},"Shailene Woodley,Theo James,",2016,
-1,99,The Amazing Spider-Man 3,{'theater': '2016-06-10'},"Andrew Garfield,",2016,
-1,84,Alvin & The Chipmunks 4,{'theater': '2016-12-16'},,2016,{u'imdb': u'1757678'}
-1,100,A Monster Calls,{'theater': '2016-10-14'},,2016,
